"All property types","All bedrooms","Fermoy, Cork",729.19,671.32,604.60,590.40,567.84,572.41,580.47,594.88,637.37,684.91,755.02
"All property types","All bedrooms","Frankfield, Cork",1041.18,977.57,894.28,874.64,891.31,888.32,927.23,1026.79,1121.18,1175.79,1217.51
"All property types","All bedrooms","Glanmire, Cork",958.47,836.12,773.83,774.97,762.42,772.45,765.42,851.81,933.40,1004.75,1068.68
"All property types","All bedrooms","Kanturk, Cork",668.53,610.23,516.48,515.50,520.59,509.66,478.38,533.90,575.25,647.90,738.45
"All property types","All bedrooms","Kinsale, Cork",978.71,895.78,852.50,824.26,790.90,772.96,801.77,869.33,959.15,1027.24,1085.33
"All property types","All bedrooms","Macroom, Cork",814.01,758.83,700.52,647.75,628.27,596.51,593.84,621.37,669.02,677.90,692.53
"All property types","All bedrooms","Mallow, Cork",718.40,672.44,615.78,589.71,571.16,576.21,587.87,626.66,679.87,735.16,793.58
"All property types","All bedrooms","Midleton, Cork",866.96,784.16,696.69,661.53,654.40,656.53,671.32,722.00,791.25,864.73,921.98
"All property types","All bedrooms","Millstreet, Cork",648.52,561.02,504.06,459.70,469.64,477.81,493.75,590.53,570.59,677.15,715.84
"All property types","All bedrooms","Mitchelstown, Cork",621.97,612.31,577.29,584.84,553.42,538.89,546.78,553.70,586.65,665.59,687.19
"All property types","All bedrooms","Montenotte, Cork",927.04,808.28,806.90,767.12,750.58,753.46,739.28,804.79,880.97,920.45,997.47
"All property types","All bedrooms","Passage West, Cork",896.41,848.62,763.14,709.32,685.96,686.69,714.71,767.08,854.65,946.91,1010.44
"All property types","All bedrooms","Rathcormac, Cork",774.57,720.77,631.13,573.82,575.90,594.56,606.94,641.89,723.39,750.84,785.27
"All property types","All bedrooms","Ringaskiddy, Cork",0.00,1009.44,0.00,492.92,504.92,526.90,844.04,811.02,855.90,0.00,0.00
"All property types","All bedrooms","Rochestown, Cork",1039.47,969.91,872.47,840.59,851.48,880.76,953.76,1053.20,1151.15,1203.18,1252.98
"All property types","All bedrooms","Skibbereen, Cork",618.92,598.90,526.56,489.07,479.59,477.26,465.17,479.79,516.85,555.58,593.15
"All property types","All bedrooms","Tivoli, Cork",913.83,884.26,789.79,750.04,764.20,797.87,787.98,856.75,953.94,994.46,1047.42
"All property types","All bedrooms","Tower, Cork",1028.27,949.14,824.39,788.42,785.97,812.51,820.33,863.46,989.84,999.73,1010.53
"All property types","All bedrooms","Whitegate, Cork",835.10,778.22,663.41,608.87,597.77,601.76,609.66,623.00,0.00,860.46,886.45
"All property types","All bedrooms","Wilton, Cork",1002.44,905.78,831.81,805.27,795.73,823.14,857.15,914.23,993.89,1049.75,1103.09
"All property types","All bedrooms","Youghal, Cork",709.62,663.31,601.35,550.32,545.03,538.28,537.16,563.72,603.88,674.81,730.47
"All property types","All bedrooms","Donegal",577.66,550.94,521.28,501.44,475.51,460.32,457.48,472.94,498.48,527.95,542.59
"All property types","All bedrooms","Donegal Town",683.09,615.50,533.65,520.73,498.34,481.79,469.69,486.60,506.44,520.83,519.09
"All property types","All bedrooms","Ballybofey, Donegal",598.40,572.12,559.40,550.95,508.57,443.70,436.23,447.92,484.67,534.51,555.03
"All property types","All bedrooms","Buncrana, Donegal",560.15,540.29,508.29,486.20,464.06,460.47,444.01,445.29,466.31,494.48,507.32
"All property types","All bedrooms","Bundoran, Donegal",0.00,542.00,535.81,487.85,461.53,449.47,453.03,439.51,441.95,452.89,497.57
"All property types","All bedrooms","Carndonagh, Donegal",524.51,480.04,457.72,425.14,401.94,370.25,405.45,446.26,403.73,397.04,451.01
"All property types","All bedrooms","Letterkenny, Donegal",579.50,560.01,524.76,504.48,480.62,461.98,470.03,493.81,526.85,569.46,586.07
"All property types","All bedrooms","Lifford, Donegal",541.17,527.25,501.23,461.45,452.82,425.07,408.51,423.12,459.57,472.07,454.07
"All property types","All bedrooms","Stranorlar, Donegal",581.78,560.23,535.85,495.79,517.40,486.32,426.81,445.39,448.76,483.19,561.22
"All property types","All bedrooms","Dublin",1340.04,1214.71,1076.98,1047.36,1078.83,1115.85,1178.24,1281.06,1371.92,1475.78,1584.58
"All property types","All bedrooms","Balbriggan, Dublin",1032.90,924.65,805.54,769.65,771.21,784.71,817.84,876.23,969.40,1062.98,1134.98
"All property types","All bedrooms","Blackrock, Dublin",1588.28,1423.31,1268.01,1247.72,1293.17,1354.52,1471.13,1583.30,1712.67,1808.85,1915.43
"All property types","All bedrooms","Booterstown, Dublin",1659.92,1537.67,1403.34,1333.36,1348.10,1430.56,1511.23,1636.18,1743.12,1847.89,1965.79
"All property types","All bedrooms","Cabinteely, Dublin",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"All property types","All bedrooms","Citywest, Dublin",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"All property types","All bedrooms","Dalkey, Dublin",1666.35,1580.46,1490.20,1463.42,1498.43,1616.79,1749.42,1922.11,2027.88,2078.57,2295.30
"All property types","All bedrooms","Donabate, Dublin",1164.87,1006.15,861.33,859.28,862.78,895.85,945.96,1011.35,1122.84,1204.06,1256.61
"All property types","All bedrooms","Dun Laoghaire, Dublin",1318.29,1222.98,1107.58,1054.81,1073.83,1152.30,1224.16,1332.18,1431.46,1553.31,1758.76
"All property types","All bedrooms","Glenageary, Dublin",1733.01,1559.08,1364.42,1294.56,1449.49,1463.09,1554.25,1749.89,1829.37,1903.18,2025.85
"All property types","All bedrooms","Howth, Dublin",1730.53,1418.85,1257.45,1245.03,1302.10,1313.06,1335.38,1446.02,1564.29,1725.03,1757.86
"All property types","All bedrooms","Killiney, Dublin",1729.22,1531.15,1402.71,1434.73,1456.86,1469.27,1537.04,1669.65,1767.93,1926.38,2104.57
"All property types","All bedrooms","Kinsealy, Dublin",1216.12,1103.92,1005.62,982.16,997.71,1038.62,1071.55,1142.62,1215.06,1316.66,1399.85
"All property types","All bedrooms","Lucan, Dublin",1221.78,1116.48,1004.10,978.92,991.46,1008.58,1050.09,1133.02,1223.06,1316.26,1474.56
"All property types","All bedrooms","Lusk, Dublin",1145.95,1048.05,940.65,910.63,895.63,900.12,982.34,1058.27,1125.16,1190.33,1275.27
"All property types","All bedrooms","Malahide, Dublin",1553.18,1378.72,1239.87,1222.63,1264.61,1319.77,1371.06,1473.70,1573.43,1711.93,1853.27
"All property types","All bedrooms","Monkstown, Dublin",1312.65,1195.31,1066.50,1058.96,1085.15,1127.02,1178.18,1278.89,1427.26,1599.79,1678.65
"All property types","All bedrooms","Mount Merrion, Dublin",1854.79,1772.40,1651.21,1634.23,1714.41,1822.25,1831.49,2005.18,2151.56,2307.63,2333.37
"All property types","All bedrooms","Portmarnock, Dublin",1337.47,1250.80,1113.53,1099.15,1086.05,1129.89,1207.12,1271.35,1380.04,1466.74,1553.27
"All property types","All bedrooms","Rathcoole, Dublin",1071.49,952.16,871.78,896.34,874.10,911.02,996.69,1040.73,1166.42,1259.46,1318.31
"All property types","All bedrooms","Rush, Dublin",1075.06,1003.69,918.77,868.07,870.66,879.15,927.97,1011.65,1046.27,1094.95,1227.76
"All property types","All bedrooms","Saggart, Dublin",1273.56,1148.49,1000.63,947.46,937.02,978.35,1033.50,1113.56,1224.92,1292.00,1381.41
"All property types","All bedrooms","Sandycove, Dublin",1574.68,1457.81,1308.41,1226.67,1483.05,1543.23,1545.11,1615.41,1955.61,2044.53,2141.46
"All property types","All bedrooms","Shankill, Dublin",1385.42,1241.39,1119.67,1106.05,1093.01,1116.23,1174.29,1244.54,1339.85,1441.87,1541.16
"All property types","All bedrooms","Skerries, Dublin",1106.83,1036.29,926.27,888.09,897.20,922.57,973.98,1067.96,1145.43,1200.35,1315.36
"All property types","All bedrooms","Stepaside, Dublin",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"All property types","All bedrooms","Stillorgan, Dublin",1570.40,1418.53,1280.06,1251.70,1277.58,1319.09,1422.77,1505.37,1591.62,1701.84,1811.88
"All property types","All bedrooms","Swords, Dublin",1200.38,1090.74,965.63,932.26,941.77,962.82,1019.92,1110.51,1202.23,1288.02,1364.31
"All property types","All bedrooms","Dublin 1",1190.88,1097.20,975.10,983.45,983.50,986.76,1071.58,1160.73,1238.14,1311.91,1492.46
"All property types","All bedrooms","I.F.S.C., Dublin 1",1426.58,1253.06,1136.76,1535.72,1906.48,1934.06,1982.49,2142.57,2033.20,2084.99,2272.65
"All property types","All bedrooms","Parnell Street, Dublin 1",1351.51,1238.11,1068.13,1030.66,1044.39,1056.97,1128.83,1282.12,1384.18,1425.40,1583.59
"All property types","All bedrooms","Spencer Dock, Dublin 1",1574.03,1458.10,1287.46,1292.74,1360.92,1456.93,1575.97,1644.23,1781.11,1878.56,2010.96
"All property types","All bedrooms","Summerhill, Dublin 1",1154.42,1149.25,1012.55,931.78,971.03,974.84,951.32,1019.93,1073.81,1146.49,1424.93
"All property types","All bedrooms","Dublin 2",1410.34,1297.72,1168.99,1129.68,1176.60,1233.59,1307.73,1442.66,1576.78,1696.52,1829.83
"All property types","All bedrooms","Aungier Street, Dublin 2",1149.86,1012.90,927.13,940.25,969.09,1017.86,1107.22,1223.03,1390.42,1425.86,1601.67
"All property types","All bedrooms","Charlemont Street, Dublin 2",1505.04,1366.88,1242.92,1221.15,1260.56,1332.50,1392.77,1474.00,1583.74,1678.30,1847.16
"All property types","All bedrooms","Grand Canal Dock, Dublin 2",1716.17,1573.86,1436.04,1456.54,1507.89,1621.03,1772.16,1941.28,2142.41,2266.56,2340.79
"All property types","All bedrooms","Grand Canal Square, Dublin 2",0.00,1601.47,1511.70,1521.03,1795.00,1916.81,2033.28,2206.64,2482.66,2821.20,2902.88
"All property types","All bedrooms","Hanover Quay, Dublin 2",1898.71,1746.81,1637.72,1575.00,1534.79,1656.41,1778.43,1854.93,2030.38,1981.96,2239.77
"All property types","All bedrooms","Lower Mount Street, Dublin 2",1257.93,1154.06,1041.29,1013.44,1076.15,1151.60,1341.63,1452.08,1491.86,1608.58,1740.18
"All property types","All bedrooms","Pearse Street, Dublin 2",1309.51,1172.37,1061.61,1019.80,1060.18,1127.85,1244.09,1325.67,1462.96,1558.53,1653.03
"All property types","All bedrooms","Tara Street, Dublin 2",1282.37,1154.60,1024.13,946.17,949.25,1002.03,1124.96,1266.91,1422.43,1492.74,1493.17
"All property types","All bedrooms","Temple Bar, Dublin 2",1464.12,1261.65,1144.64,1124.03,1120.31,1137.40,1220.31,1358.86,1442.92,1574.80,1624.23
"All property types","All bedrooms","Townsend Street, Dublin 2",1379.16,1244.64,1092.91,1072.30,1117.39,1163.30,1271.30,1398.70,1520.09,1651.50,1746.42
"All property types","All bedrooms","Dublin 3",1222.75,1097.33,973.64,934.67,945.92,988.81,1068.02,1161.84,1257.21,1351.95,1466.18
"All property types","All bedrooms","Clonliffe, Dublin 3",1087.46,982.28,892.65,797.98,806.78,895.65,909.75,924.08,1029.67,1154.03,1328.80
"All property types","All bedrooms","Clontarf, Dublin 3",1289.39,1155.96,1025.03,990.46,1018.34,1058.36,1145.01,1266.22,1362.47,1459.38,1561.39
"All property types","All bedrooms","Drumcondra, Dublin 3",1161.13,1052.85,859.28,897.08,876.27,936.94,1029.91,1108.89,1216.61,1342.10,1457.95
