"All property types","All bedrooms","Douglas, Cork",1052.10,954.67,875.54,850.75,859.63,885.39,924.68,1002.30,1098.47,1146.46,1203.82,1238.86
"All property types","All bedrooms","Dunmanway, Cork",602.35,610.76,585.08,548.33,538.20,520.28,545.74,577.30,618.46,653.11,696.88,746.64
"All property types","All bedrooms","Fermoy, Cork",732.41,674.29,607.41,580.83,556.19,561.65,571.76,589.10,630.42,684.61,750.04,807.30
"All property types","All bedrooms","Frankfield, Cork",1041.18,977.57,894.29,868.67,894.76,889.01,927.24,1021.47,1115.78,1176.49,1220.38,1256.94
"All property types","All bedrooms","Glanmire, Cork",958.20,836.62,773.54,776.01,763.92,772.45,765.43,851.81,934.85,1004.34,1066.44,1114.21
"All property types","All bedrooms","Kanturk, Cork",674.89,610.24,518.87,528.30,520.72,515.21,501.28,516.70,561.57,628.95,718.83,795.91
"All property types","All bedrooms","Kinsale, Cork",979.82,896.95,853.05,825.67,790.65,773.27,803.91,869.69,960.16,1032.05,1088.11,1157.39
"All property types","All bedrooms","Macroom, Cork",739.23,689.61,604.76,587.75,563.03,567.00,571.77,597.22,654.97,671.99,698.08,751.01
"All property types","All bedrooms","Mallow, Cork",718.64,673.23,615.55,584.89,566.43,574.60,587.66,627.16,679.38,735.67,791.31,856.96
"All property types","All bedrooms","Midleton, Cork",867.31,784.06,698.66,663.73,654.28,656.34,671.60,722.79,793.26,864.55,922.48,990.01
"All property types","All bedrooms","Millstreet, Cork",669.23,576.86,519.74,487.24,496.44,488.86,500.98,554.49,577.09,574.39,624.96,696.16
"All property types","All bedrooms","Mitchelstown, Cork",628.76,614.81,577.30,554.09,529.20,540.78,549.58,559.43,600.14,650.89,666.01,706.69
"All property types","All bedrooms","Montenotte, Cork",927.05,808.28,806.90,767.12,755.69,749.18,739.29,808.99,880.98,920.45,1011.47,1037.40
"All property types","All bedrooms","Passage West, Cork",902.19,848.62,763.14,709.32,686.50,685.26,711.39,765.77,857.50,948.81,1015.06,1030.81
"All property types","All bedrooms","Rathcormac, Cork",774.57,720.77,631.13,573.82,575.90,594.56,606.94,642.67,685.23,714.00,785.27,878.67
"All property types","All bedrooms","Ringaskiddy, Cork",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1104.27
"All property types","All bedrooms","Rochestown, Cork",1041.29,969.73,872.16,840.29,851.27,880.55,953.76,1055.08,1153.42,1204.38,1260.33,1320.54
"All property types","All bedrooms","Skibbereen, Cork",621.00,576.35,519.83,488.91,481.58,482.26,471.43,486.21,520.19,559.19,595.98,643.15
"All property types","All bedrooms","Tivoli, Cork",913.83,884.26,789.80,750.05,764.20,797.87,787.99,856.75,953.94,994.46,1048.38,1056.40
"All property types","All bedrooms","Tower, Cork",1028.27,949.14,824.39,788.43,785.98,812.51,820.33,863.46,991.15,1000.85,1010.53,1091.34
"All property types","All bedrooms","Whitegate, Cork",835.11,778.23,663.42,612.64,601.54,601.76,609.67,623.00,0.00,863.59,889.36,916.81
"All property types","All bedrooms","Wilton, Cork",1004.38,903.28,825.93,804.15,793.64,820.83,856.43,920.05,996.60,1053.00,1098.91,1141.21
"All property types","All bedrooms","Youghal, Cork",709.57,663.41,601.36,550.07,544.94,538.33,537.58,564.24,603.97,672.98,731.23,782.46
"All property types","All bedrooms","Donegal",576.45,548.91,515.83,482.95,463.63,444.91,445.74,461.52,486.35,515.25,536.39,559.59
"All property types","All bedrooms","Donegal Town",689.26,620.35,534.64,514.32,494.44,471.33,457.65,467.66,490.35,511.43,525.29,537.91
"All property types","All bedrooms","Ballybofey, Donegal",592.13,570.32,546.16,509.33,478.71,450.58,443.37,456.73,475.67,498.09,527.22,545.00
"All property types","All bedrooms","Buncrana, Donegal",558.73,538.74,511.34,487.36,452.53,437.67,432.08,445.12,466.86,495.07,508.68,519.72
"All property types","All bedrooms","Bundoran, Donegal",0.00,542.00,506.68,465.47,444.62,431.39,436.90,428.69,444.42,464.61,505.26,511.68
"All property types","All bedrooms","Carndonagh, Donegal",539.80,495.20,472.34,435.14,414.64,381.79,374.90,406.17,404.63,402.22,435.72,453.19
"All property types","All bedrooms","Letterkenny, Donegal",579.49,560.07,525.36,487.09,471.35,447.51,459.02,479.10,514.64,556.93,584.15,613.79
"All property types","All bedrooms","Lifford, Donegal",541.18,531.54,501.24,461.46,453.28,432.45,418.98,430.45,456.22,466.19,456.10,458.72
"All property types","All bedrooms","Stranorlar, Donegal",581.78,560.24,535.86,495.51,469.45,439.72,426.81,426.63,437.48,490.00,495.46,543.21
"All property types","All bedrooms","Dublin",1339.95,1214.55,1078.74,1047.53,1078.28,1115.14,1177.67,1280.81,1372.13,1475.98,1584.11,1678.59
"All property types","All bedrooms","Balbriggan, Dublin",1032.90,924.49,805.50,769.38,771.00,784.49,817.72,878.20,971.11,1062.87,1133.42,1237.21
